sample_id,encryption_count,file_write_rate,registry_modifications,network_connections,process_tree_depth,bruteforce_attempts,usb_access_count,cloud_api_access,phishing_indicator,exploit_indicator,class_id,class_name
sample_09807,957,311.3935612468479,90,28,6,4,4,8,1,0,0,Encryptor
sample_03535,635,197.7975741343848,114,49,7,6,6,7,0,0,0,Encryptor
sample_05328,892,435.69067194785066,68,52,6,7,4,1,0,1,0,Encryptor
sample_00265,942,249.8319252202511,70,28,6,3,6,0,0,1,0,Encryptor
sample_01386,667,256.2235032157128,84,34,8,4,7,3,0,0,0,Encryptor
sample_07385,823,301.86560445064293,46,66,6,6,3,2,0,1,0,Encryptor
sample_09521,565,539.37522890143,79,41,5,4,6,6,0,0,0,Encryptor
sample_06880,972,205.3850629626768,103,70,5,5,5,1,0,0,0,Encryptor
sample_06860,1051,546.2066157404192,105,29,6,2,6,2,0,0,0,Encryptor
sample_09539,666,411.513597502057,153,53,7,5,9,5,0,0,0,Encryptor
sample_03895,656,328.4652385730342,84,45,5,4,6,6,0,0,0,Encryptor
sample_07528,843,313.5873021292584,91,27,7,5,1,9,0,0,0,Encryptor
sample_04795,1120,340.7056215712476,93,57,7,7,4,0,0,1,0,Encryptor
sample_02753,426,187.73142464801165,83,38,7,4,11,5,0,0,0,Encryptor
sample_04988,1195,296.10868496152534,104,36,7,4,4,5,1,0,0,Encryptor
sample_01051,702,466.570302819216,52,41,7,2,6,4,1,0,0,Encryptor
sample_01356,832,129.06199462392897,67,38,7,3,1,6,0,0,0,Encryptor
sample_06737,945,220.406757063577,90,32,8,5,2,11,0,0,0,Encryptor
sample_01809,967,151.13680497653678,106,26,6,7,5,5,0,0,0,Encryptor
sample_05599,315,239.0699569134963,48,12,7,3,4,5,0,0,0,Encryptor
sample_08651,738,428.7547024491343,113,39,6,2,10,6,0,0,0,Encryptor
sample_03142,830,246.26859650615756,62,34,7,5,3,3,0,0,0,Encryptor
sample_08569,536,358.11283294487504,87,46,5,7,2,1,0,0,0,Encryptor
sample_06832,726,296.3574781213296,51,23,5,5,7,7,0,0,0,Encryptor
sample_02005,591,279.2409448018756,81,38,8,4,2,2,0,0,0,Encryptor
sample_04937,728,243.634672683374,86,44,6,6,3,5,0,1,0,Encryptor
sample_02318,712,440.6354242203701,116,43,8,3,0,2,0,0,0,Encryptor
sample_05958,912,269.1764695820043,49,39,6,9,2,3,1,0,0,Encryptor
sample_07215,206,271.46943416386483,84,51,7,7,1,7,0,0,0,Encryptor
sample_05424,571,339.1766343958191,74,20,5,5,8,1,0,0,0,Encryptor
sample_01445,822,366.6300080300831,74,46,6,1,6,9,0,1,0,Encryptor
sample_05207,977,274.4620580722031,147,49,7,3,2,6,0,0,0,Encryptor
sample_01246,720,330.5973323612316,55,48,6,3,6,3,0,0,0,Encryptor
sample_02618,1019,328.642107418872,82,30,8,7,7,5,1,1,0,Encryptor
sample_03430,419,284.8834058914805,90,29,5,4,4,4,0,0,0,Encryptor
sample_07164,1103,273.9756582551723,88,35,7,0,6,4,0,1,0,Encryptor
sample_07928,836,285.6999171368352,100,49,6,4,3,0,0,0,0,Encryptor
sample_00093,850,116.24386184181384,74,31,5,4,9,6,0,0,0,Encryptor
sample_00465,964,287.2516272590886,107,46,4,3,3,6,0,0,0,Encryptor
sample_03610,479,299.73352072318977,59,37,7,4,3,6,0,0,0,Encryptor
sample_09227,712,207.9290830134261,143,22,7,5,6,4,0,1,0,Encryptor
sample_07703,834,124.33488189143486,74,42,6,8,2,2,0,0,0,Encryptor
sample_04427,921,226.03992927939552,88,28,6,5,6,3,0,0,0,Encryptor
sample_07272,351,437.35637748499687,38,30,4,8,3,5,0,1,0,Encryptor
sample_07757,974,198.37257809473783,80,45,6,4,6,4,0,0,0,Encryptor
sample_04061,1036,280.3067301388976,110,57,6,7,2,2,0,0,0,Encryptor
sample_02701,831,265.9438624834117,122,51,8,5,7,5,0,0,0,Encryptor
sample_02877,787,267.83095417523896,111,39,5,3,1,4,1,1,0,Encryptor
sample_01953,615,252.6642534185135,86,36,9,4,6,0,0,0,0,Encryptor
sample_02610,511,460.8111436895705,120,40,6,3,5,9,0,0,0,Encryptor
sample_01533,831,250.4593314579709,113,54,8,4,2,5,0,0,0,Encryptor
sample_06846,262,374.6800114236327,50,48,7,0,4,4,0,0,0,Encryptor
sample_00323,1319,407.14937349092367,85,52,8,3,2,5,0,0,0,Encryptor
sample_07086,579,412.1214369237002,55,5,6,3,4,2,0,0,0,Encryptor
sample_00870,1220,248.03380269935053,89,25,6,7,5,7,0,0,0,Encryptor
sample_01354,189,209.006502353922,113,35,7,5,4,0,0,0,0,Encryptor
sample_05354,934,374.6729785475813,84,47,9,4,4,10,0,0,0,Encryptor
sample_06276,441,299.2365680247618,99,21,7,5,4,1,0,0,0,Encryptor
sample_07115,827,191.93425836203767,53,32,8,4,5,5,0,0,0,Encryptor
sample_07207,553,246.14336695878956,132,69,5,5,9,5,0,0,0,Encryptor
sample_03485,931,397.5833358122465,70,26,6,6,10,7,0,0,0,Encryptor
sample_02780,740,454.6191070346288,100,29,5,4,2,0,0,0,0,Encryptor
sample_05509,503,368.7683812732943,112,43,4,7,5,0,0,0,0,Encryptor
sample_00620,649,464.63966971745504,92,34,6,7,7,1,0,0,0,Encryptor
sample_04664,579,270.6578916244151,77,19,6,6,1,5,0,0,0,Encryptor
sample_04953,1213,249.85964566084152,64,35,6,4,5,5,0,0,0,Encryptor
sample_06491,460,296.6134972284067,82,23,6,5,10,5,0,0,0,Encryptor
sample_04188,1038,480.60561955201865,139,41,5,4,5,7,0,1,0,Encryptor
sample_04403,1373,276.95994714322404,75,26,7,6,3,6,0,0,0,Encryptor
sample_06895,1046,274.1256581227427,86,12,7,7,5,5,0,0,0,Encryptor
sample_08333,936,241.83451701053804,93,27,8,4,6,7,0,0,0,Encryptor
sample_03485,931,397.5833358122465,70,26,6,6,10,7,0,0,0,Encryptor
sample_05238,630,296.764766163738,62,39,6,4,3,3,0,1,0,Encryptor
sample_02732,1055,337.4106087026049,61,35,7,4,1,5,0,0,0,Encryptor
sample_05901,1011,375.7399027064368,67,31,6,5,2,6,0,0,0,Encryptor
sample_05436,682,266.3583267435528,88,55,7,5,7,3,0,0,0,Encryptor
sample_02705,1115,336.25044898005825,92,37,7,5,5,3,0,0,0,Encryptor
sample_01390,976,419.58672870893247,69,34,6,7,5,10,0,0,0,Encryptor
sample_06949,676,328.97130327860003,67,42,8,5,2,2,0,0,0,Encryptor
sample_06032,490,273.6329821785276,107,52,6,7,5,8,0,1,0,Encryptor
sample_05856,863,353.2357983931671,46,47,7,7,4,6,0,0,0,Encryptor
sample_05093,1188,394.5945611954579,104,63,7,2,6,9,0,0,0,Encryptor
sample_08474,708,255.70164894480507,44,33,5,2,1,5,0,0,0,Encryptor
sample_03880,788,244.3093312379061,72,32,8,3,4,0,0,0,0,Encryptor
sample_06858,562,418.6482563781796,72,38,7,3,3,1,0,0,0,Encryptor
sample_00611,765,285.14274914972583,80,40,6,7,2,3,0,0,0,Encryptor
sample_03366,922,357.2359380138421,115,48,8,5,3,4,0,0,0,Encryptor
sample_09671,795,420.9427172629783,47,32,7,2,3,5,1,0,0,Encryptor
sample_01533,831,250.4593314579709,113,54,8,4,2,5,0,0,0,Encryptor
sample_05125,541,249.86067831513608,114,53,6,2,9,7,0,0,0,Encryptor
sample_08036,729,223.2814865283137,84,61,5,8,3,11,0,1,0,Encryptor
sample_03734,675,441.49883603692194,88,47,7,5,6,2,0,0,0,Encryptor
sample_07121,651,257.6055174746015,52,33,7,3,3,10,0,1,0,Encryptor
sample_03643,746,311.5085245869817,77,43,4,6,5,4,0,1,0,Encryptor
sample_07952,831,290.9079617882342,117,16,7,4,6,3,1,0,0,Encryptor
sample_08507,635,308.8378269955245,57,43,7,5,4,7,0,0,0,Encryptor
sample_07405,622,260.9473209547199,62,27,8,7,0,5,0,0,0,Encryptor
sample_03960,502,345.7096411316281,58,35,8,5,6,2,0,0,0,Encryptor
sample_04658,731,191.77983261989647,103,33,7,7,1,7,1,0,0,Encryptor
sample_03812,449,268.4912999988855,15,37,5,5,8,5,1,0,0,Encryptor
sample_06825,532,231.0265330455667,91,29,6,8,4,1,0,0,0,Encryptor
sample_04411,546,415.0339653302162,126,50,8,0,10,4,0,1,0,Encryptor
sample_05437,596,220.70596293345392,57,22,5,5,2,5,0,1,0,Encryptor
sample_07086,579,412.1214369237002,55,5,6,3,4,2,0,0,0,Encryptor
sample_09206,257,357.38855238950737,90,29,8,2,6,8,1,0,0,Encryptor
sample_09132,968,362.7289890226806,29,44,6,4,6,4,0,0,0,Encryptor
sample_09260,520,325.573961164554,112,44,6,7,6,10,0,0,0,Encryptor
sample_08418,861,212.35631377735535,111,34,5,2,6,5,0,0,0,Encryptor
sample_01251,922,248.46725566861252,83,54,9,6,9,3,0,0,0,Encryptor
sample_08383,1036,221.6886507900076,96,47,7,7,5,3,0,0,0,Encryptor
sample_09505,1106,268.4030417824722,96,50,7,3,4,1,0,0,0,Encryptor
sample_09444,707,306.4258227739028,66,51,8,3,5,2,0,1,0,Encryptor
sample_08772,997,370.52946317563567,124,39,5,3,7,5,0,0,0,Encryptor
sample_04336,1373,234.26099696435523,80,40,5,5,5,2,0,0,0,Encryptor
sample_04316,930,363.2895070959569,58,38,5,4,4,5,0,0,0,Encryptor
sample_06577,894,257.3333804569272,80,46,6,3,5,8,1,0,0,Encryptor
sample_08598,548,355.2889624093292,89,39,6,7,2,2,0,0,0,Encryptor
sample_09329,1145,380.6622437573748,90,40,8,5,3,4,0,0,0,Encryptor
sample_04871,814,359.9567189535076,78,44,6,5,4,5,1,1,0,Encryptor
sample_09985,667,334.4136759014997,64,25,6,2,2,7,0,0,0,Encryptor
sample_09687,1034,364.7629105475762,72,39,5,6,10,5,0,0,0,Encryptor
sample_04430,648,297.4757159348619,129,39,7,2,2,3,0,0,0,Encryptor
sample_02161,410,391.94857515519095,37,21,6,5,6,4,0,1,0,Encryptor
sample_08383,1036,221.6886507900076,96,47,7,7,5,3,0,0,0,Encryptor
sample_08434,930,215.9091034922174,67,39,7,5,5,4,0,0,0,Encryptor
sample_04664,579,270.6578916244151,77,19,6,6,1,5,0,0,0,Encryptor
sample_04522,687,249.6905559964169,81,64,5,5,6,3,0,0,0,Encryptor
sample_09387,550,304.6224068535369,52,52,6,7,5,3,1,0,0,Encryptor
sample_08430,968,388.46417195848784,117,41,5,8,10,4,0,0,0,Encryptor
sample_07585,1059,238.41911511540115,115,52,6,6,2,4,0,0,0,Encryptor
sample_03055,629,280.70114789224203,80,40,7,4,3,5,1,0,0,Encryptor
sample_03880,788,244.3093312379061,72,32,8,3,4,0,0,0,0,Encryptor
sample_08644,725,350.7186723164374,29,49,7,2,3,3,0,0,0,Encryptor
sample_09513,842,323.2193972449146,96,43,5,2,4,4,0,0,0,Encryptor
sample_09517,1135,364.59360488115647,55,41,7,6,2,3,0,0,0,Encryptor
sample_07585,1059,238.41911511540115,115,52,6,6,2,4,0,0,0,Encryptor
sample_06413,808,473.0987438915983,102,39,7,7,8,5,0,0,0,Encryptor
sample_07385,823,301.86560445064293,46,66,6,6,3,2,0,1,0,Encryptor
sample_04771,770,314.56065900710115,81,39,6,3,5,5,0,1,0,Encryptor
sample_00753,943,376.8014079606132,68,43,7,7,4,4,0,0,0,Encryptor
sample_00006,1033,371.60359175063473,115,44,10,3,4,4,0,1,0,Encryptor
sample_04393,615,278.297515733653,105,37,6,4,4,2,0,0,0,Encryptor
sample_01450,895,171.24127376508852,100,25,6,5,6,5,0,0,0,Encryptor
sample_05811,293,384.3123814511055,61,44,7,6,5,9,0,0,0,Encryptor
sample_08383,1036,221.6886507900076,96,47,7,7,5,3,0,0,0,Encryptor
sample_02667,999,459.4883475742724,103,31,6,8,2,6,0,0,0,Encryptor
sample_09628,1209,233.72458986796784,67,6,6,2,6,5,0,0,0,Encryptor
sample_07711,437,270.4386991382213,85,15,7,5,3,2,0,0,0,Encryptor
sample_07215,206,271.46943416386483,84,51,7,7,1,7,0,0,0,Encryptor
sample_04988,1195,296.10868496152534,104,36,7,4,4,5,1,0,0,Encryptor
sample_09707,811,439.0277260782524,93,47,6,0,4,4,1,0,0,Encryptor
sample_01628,922,383.31701406323134,114,54,7,6,7,6,0,0,0,Encryptor
sample_05690,611,423.9393155531149,73,27,7,4,4,7,0,0,0,Encryptor
sample_09861,464,272.8639194299768,62,31,7,8,6,7,0,0,0,Encryptor
sample_01374,543,321.2565739768101,77,34,6,5,3,0,0,0,0,Encryptor
sample_08120,498,467.2336451294997,112,36,7,5,2,5,1,0,0,Encryptor
sample_00802,817,308.70627894642126,89,34,5,8,6,3,0,0,0,Encryptor
sample_02747,570,348.66253451058554,96,35,7,3,2,3,0,0,0,Encryptor
sample_05238,630,296.764766163738,62,39,6,4,3,3,0,1,0,Encryptor
sample_01978,663,110.0387237170427,110,55,7,2,5,7,0,1,0,Encryptor
sample_01891,785,475.2139766111503,101,43,6,8,4,5,0,0,0,Encryptor
sample_05975,712,223.6501163035229,82,49,7,8,5,2,0,0,0,Encryptor
sample_01336,1110,237.2042535603255,113,29,5,1,6,5,0,1,0,Encryptor
sample_06636,805,301.6935351651513,64,34,7,4,2,3,0,0,0,Encryptor
sample_05139,891,391.8073519965466,65,31,9,8,3,7,0,0,0,Encryptor
sample_00928,766,167.3616988790942,72,48,6,4,5,5,0,0,0,Encryptor
sample_04174,409,243.51813938411567,75,23,6,7,1,3,0,0,0,Encryptor
sample_08242,695,237.5481981047521,70,54,6,5,8,4,0,1,0,Encryptor
sample_07672,329,275.9768779841464,108,38,8,4,6,1,0,0,0,Encryptor
sample_01240,954,518.4636045941716,105,40,5,7,7,1,0,0,0,Encryptor
sample_09072,920,225.88769790018276,84,55,7,3,8,2,0,0,0,Encryptor
sample_03220,747,156.3880332164157,116,34,7,8,4,5,0,0,0,Encryptor
sample_09275,1252,425.9872930714502,70,20,6,5,4,5,0,0,0,Encryptor
sample_04492,735,195.61692999744344,77,43,7,10,8,2,0,0,0,Encryptor
sample_05207,977,274.4620580722031,147,49,7,3,2,6,0,0,0,Encryptor
sample_06444,701,186.5845751977797,99,28,6,6,6,0,0,0,0,Encryptor
sample_02755,292,312.3658836077592,111,23,7,6,7,8,0,0,0,Encryptor
sample_09241,881,277.222436502894,78,58,7,7,4,6,0,1,0,Encryptor
sample_00944,662,381.9226513379575,69,33,4,2,2,3,0,0,0,Encryptor
sample_07836,945,293.6849228905669,95,64,5,6,2,7,0,0,0,Encryptor
sample_05856,863,353.2357983931671,46,47,7,7,4,6,0,0,0,Encryptor
sample_03382,960,196.74598416324568,104,56,6,10,6,4,1,1,0,Encryptor
sample_06262,1007,195.5461611210141,48,49,6,4,4,5,0,0,0,Encryptor
sample_03790,1068,179.01178831767476,94,35,7,5,3,4,0,0,0,Encryptor
sample_02318,712,440.6354242203701,116,43,8,3,0,2,0,0,0,Encryptor
sample_05902,353,394.9746225247024,78,33,5,5,0,6,0,0,0,Encryptor
sample_04392,728,393.5501395320069,88,29,6,5,7,8,0,0,0,Encryptor
sample_03273,559,275.2734459576696,116,37,8,5,7,5,0,0,0,Encryptor
sample_00956,1130,368.65278206159655,64,28,6,2,5,7,0,0,0,Encryptor
sample_09706,1141,518.135174863336,117,40,5,6,9,5,0,0,0,Encryptor
sample_08896,802,260.2018329697399,88,36,7,3,4,6,0,1,0,Encryptor
sample_01730,208,128.64994192873198,70,65,7,2,7,9,0,1,0,Encryptor
sample_00928,766,167.3616988790942,72,48,6,4,5,5,0,0,0,Encryptor
sample_02350,1060,444.011618949642,86,57,7,4,1,2,0,0,0,Encryptor
sample_04286,1062,388.8906762406884,46,48,7,5,4,0,0,0,0,Encryptor
sample_06832,726,296.3574781213296,51,23,5,5,7,7,0,0,0,Encryptor
sample_05970,1214,203.3243630599338,62,47,4,4,1,10,0,0,0,Encryptor
sample_00006,1033,371.60359175063473,115,44,10,3,4,4,0,1,0,Encryptor
sample_06060,349,269.32428964878784,56,31,7,5,3,5,0,1,0,Encryptor
sample_08946,685,239.63485020916988,105,54,4,4,5,0,0,1,0,Encryptor
sample_01645,676,206.20426736114,48,51,7,5,2,1,0,0,0,Encryptor
sample_03132,479,471.7170233973128,110,40,7,5,3,7,0,0,0,Encryptor
sample_07129,807,370.94120689796586,69,33,6,5,3,0,0,0,0,Encryptor
sample_07952,831,290.9079617882342,117,16,7,4,6,3,1,0,0,Encryptor
sample_06829,864,297.2938269664626,64,51,6,4,4,4,0,0,0,Encryptor
sample_00044,1004,244.16726497180036,62,46,6,2,10,4,0,0,0,Encryptor
sample_08430,968,388.46417195848784,117,41,5,8,10,4,0,0,0,Encryptor
sample_07486,737,280.08902080200494,94,41,6,4,1,5,0,0,0,Encryptor
sample_05599,315,239.0699569134963,48,12,7,3,4,5,0,0,0,Encryptor
sample_01398,693,388.2304803195987,74,68,6,5,6,7,0,0,0,Encryptor
sample_07713,449,346.4835003847493,84,32,7,4,4,5,0,0,0,Encryptor
sample_02768,585,260.3505622896928,117,30,6,7,3,3,0,0,0,Encryptor
sample_00957,815,234.4448718082461,58,48,7,6,8,3,0,0,0,Encryptor
sample_00412,766,408.4586088105026,69,35,6,2,7,10,0,0,0,Encryptor
sample_07638,813,344.69274136914186,86,24,5,5,9,3,0,0,0,Encryptor
sample_04316,930,363.2895070959569,58,38,5,4,4,5,0,0,0,Encryptor
sample_04019,961,226.4708343194996,95,33,5,1,4,6,0,0,0,Encryptor
sample_09733,637,382.3673312178527,65,21,4,5,5,6,0,0,0,Encryptor
sample_09764,798,372.6079191590909,74,40,7,0,6,3,0,0,0,Encryptor
sample_00701,780,369.29718582017006,61,56,8,4,8,2,0,0,0,Encryptor
sample_01645,676,206.20426736114,48,51,7,5,2,1,0,0,0,Encryptor
sample_08401,1046,259.82824056950767,46,35,7,4,4,0,0,0,0,Encryptor
sample_07583,782,260.8993320689658,102,48,8,7,4,5,0,0,0,Encryptor
sample_03550,1047,434.4214522619149,85,47,8,6,6,1,0,0,0,Encryptor
sample_00620,649,464.63966971745504,92,34,6,7,7,1,0,0,0,Encryptor
sample_00964,1008,389.8090034214829,82,31,7,6,5,8,0,0,0,Encryptor
sample_06154,787,291.0778348419206,37,39,7,3,3,7,0,0,0,Encryptor
sample_05950,670,316.1485759861947,47,47,6,2,7,9,0,0,0,Encryptor
sample_02318,712,440.6354242203701,116,43,8,3,0,2,0,0,0,Encryptor
sample_05617,384,400.4054281861376,38,49,6,8,6,6,0,0,0,Encryptor
sample_07970,850,304.30945100524224,40,35,7,6,4,4,0,0,0,Encryptor
sample_06464,1035,424.8075275725605,74,63,6,2,4,4,0,0,0,Encryptor
sample_01041,1194,278.8351609574013,63,31,6,3,1,2,0,0,0,Encryptor
sample_05484,949,223.85521922290457,56,47,6,4,2,2,1,0,0,Encryptor
sample_02732,1055,337.4106087026049,61,35,7,4,1,5,0,0,0,Encryptor
sample_08682,834,235.1271438314964,91,67,7,4,1,2,0,0,0,Encryptor
sample_05599,315,239.0699569134963,48,12,7,3,4,5,0,0,0,Encryptor
sample_09552,608,395.0107122648275,67,38,7,4,8,2,0,0,0,Encryptor
sample_07739,612,179.56964663585504,106,29,7,3,4,4,0,0,0,Encryptor
sample_08202,1020,249.4783822510801,97,18,7,4,3,1,0,0,0,Encryptor
sample_02747,570,348.66253451058554,96,35,7,3,2,3,0,0,0,Encryptor
sample_04385,825,302.52880562892875,17,34,7,4,3,5,0,0,0,Encryptor
sample_07115,827,191.93425836203767,53,32,8,4,5,5,0,0,0,Encryptor
sample_04696,1097,335.9788401465837,74,55,6,2,1,5,1,0,0,Encryptor
sample_03169,719,324.26755387845003,51,39,5,5,10,3,0,1,0,Encryptor
sample_06444,701,186.5845751977797,99,28,6,6,6,0,0,0,0,Encryptor
sample_03253,820,197.8022900813808,68,52,7,7,5,2,0,1,0,Encryptor
sample_09409,591,205.26658383505497,78,39,4,3,2,1,0,0,0,Encryptor
sample_07024,891,436.6829687758026,81,35,7,2,6,7,0,0,0,Encryptor
sample_05126,667,130.78115788628196,59,45,6,5,1,5,0,0,0,Encryptor
sample_00300,962,230.24692295186483,79,32,5,3,6,0,0,0,0,Encryptor
sample_01514,885,305.0550530820406,73,55,5,5,4,1,0,0,0,Encryptor
sample_09360,824,187.67219824147105,97,60,7,1,5,2,0,0,0,Encryptor
sample_03859,659,497.39834611991785,142,36,7,6,7,3,0,0,0,Encryptor
sample_03015,963,390.6477170401735,66,45,6,6,4,3,0,0,0,Encryptor
sample_08772,997,370.52946317563567,124,39,5,3,7,5,0,0,0,Encryptor
sample_00189,609,272.28346233248635,34,42,7,3,6,7,1,1,0,Encryptor
sample_01496,335,354.02025375708945,77,27,7,2,4,0,0,0,0,Encryptor
sample_08682,834,235.1271438314964,91,67,7,4,1,2,0,0,0,Encryptor
sample_05449,822,98.41190521291936,88,31,4,7,1,7,0,1,0,Encryptor
sample_01922,671,291.92539540869706,60,48,6,6,8,4,0,0,0,Encryptor
sample_05958,912,269.1764695820043,49,39,6,9,2,3,1,0,0,Encryptor
sample_06477,519,227.9261094121109,109,54,6,6,3,3,0,0,0,Encryptor
sample_03132,479,471.7170233973128,110,40,7,5,3,7,0,0,0,Encryptor
sample_06855,708,200.05961871678304,75,50,6,5,4,1,1,0,0,Encryptor
sample_05599,315,239.0699569134963,48,12,7,3,4,5,0,0,0,Encryptor
sample_04490,920,403.8465295807634,43,37,6,6,4,7,0,0,0,Encryptor
sample_03752,823,155.1523572623987,101,47,6,4,4,8,0,0,0,Encryptor
sample_08174,793,95.9204638318524,122,58,8,5,5,8,0,0,0,Encryptor
sample_07208,484,337.17460672750383,108,46,5,3,7,2,0,0,0,Encryptor
sample_00103,974,304.67512972265695,97,39,7,1,7,5,0,0,0,Encryptor
sample_08040,666,198.43389367899496,50,64,9,3,4,9,0,0,0,Encryptor
sample_08336,919,224.3221658779009,63,49,6,4,1,4,0,0,0,Encryptor
sample_01026,843,400.9024510509316,84,42,7,1,0,1,0,0,0,Encryptor
sample_03301,870,252.60886913541876,75,25,6,1,5,4,1,0,0,Encryptor
sample_07196,462,425.1468485958417,69,63,6,6,7,6,0,0,0,Encryptor
sample_09384,1202,158.49607092283867,52,26,8,6,4,6,0,0,0,Encryptor
sample_03579,942,283.5230229836577,85,19,7,4,2,8,1,0,0,Encryptor
sample_00620,649,464.63966971745504,92,34,6,7,7,1,0,0,0,Encryptor
